id,lat,long,dock_count,name,installation_date
2,37.329732,-121.901782,27,San Jose Diridon Caltrain Station,08/06/2013
3,37.330698,-121.888979,15,San Jose Civic Center,08/05/2013
4,37.333988,-121.894902,11,Santa Clara at Almaden,08/06/2013
5,37.331415,-121.8932,19,Adobe on Almaden,08/05/2013
6,37.336721,-121.894074,15,San Pedro Square,08/07/2013
7,37.333798,-121.886943,15,Paseo de San Antonio,08/07/2013
8,37.330165,-121.885831,15,San Salvador at 1st,08/05/2013
9,37.348742,-121.894715,15,Japantown,08/05/2013
10,37.337391,-121.886995,15,San Jose City Hall,08/06/2013
11,37.335885,-121.88566,19,MLK Library,08/06/2013
12,37.332808,-121.883891,19,SJSU 4th at San Carlos,08/07/2013
13,37.339301,-121.889937,15,St James Park,08/06/2013
14,37.332692,-121.900084,19,Arena Green / SAP Center,08/05/2013
16,37.333955,-121.877349,15,SJSU - San Salvador at 9th,08/07/2013
21,37.481758,-122.226904,15,Franklin at Maple,08/12/2013
22,37.486078,-122.232089,25,Redwood City Caltrain Station,8/15/2013
23,37.487616,-122.229951,15,San Mateo County Center,8/15/2013
24,37.484219,-122.227424,15,Redwood City Public Library,08/12/2013
25,37.48537,-122.203288,15,Stanford in Redwood City,08/12/2013
26,37.487682,-122.223492,15,Redwood City Medical Center,08/12/2013
27,37.389218,-122.081896,15,Mountain View City Hall,8/16/2013
28,37.394358,-122.076713,23,Mountain View Caltrain Station,8/15/2013
29,37.40694,-122.106758,23,San Antonio Caltrain Station,8/15/2013
30,37.390277,-122.066553,15,Evelyn Park and Ride,8/16/2013
31,37.400443,-122.108338,15,San Antonio Shopping Center,12/31/2013
32,37.385956,-122.083678,11,Castro Street and El Camino Real,12/31/2013
33,37.400241,-122.099076,15,Rengstorff Avenue / California Street,8/16/2013
34,37.443988,-122.164759,23,Palo Alto Caltrain Station,8/14/2013
35,37.444521,-122.163093,11,University and Emerson,8/15/2013
36,37.429082,-122.142805,15,California Ave Caltrain Station,8/14/2013
37,37.448598,-122.159504,11,Cowper at University,8/14/2013
38,37.4256839,-122.1377775,15,Park at Olive,8/14/2013
39,37.783871,-122.408433,19,Powell Street BART,8/25/2013
41,37.795001,-122.39997,15,Clay at Battery,8/19/2013
42,37.79728,-122.398436,15,Davis at Jackson,8/19/2013
45,37.794231,-122.402923,15,Commercial at Montgomery,8/19/2013
46,37.795425,-122.404767,15,Washington at Kearney,8/19/2013
47,37.788975,-122.403452,19,Post at Kearney,8/19/2013
48,37.799953,-122.398525,15,Embarcadero at Vallejo,8/19/2013
49,37.790302,-122.390637,19,Spear at Folsom,8/20/2013
50,37.795392,-122.394203,23,Harry Bridges Plaza (Ferry Building),8/20/2013
51,37.791464,-122.391034,19,Embarcadero at Folsom,8/20/2013
54,37.787152,-122.388013,15,Embarcadero at Bryant,8/20/2013
55,37.789756,-122.394643,23,Temporary Transbay Terminal (Howard at Beale),8/20/2013
56,37.792251,-122.397086,19,Beale at Market,8/20/2013
57,37.781752,-122.405127,15,5th at Howard,8/21/2013
58,37.77865,-122.418235,19,San Francisco City Hall,8/21/2013
59,37.781332,-122.418603,23,Golden Gate at Polk,8/21/2013
60,37.80477,-122.403234,15,Embarcadero at Sansome,8/21/2013
61,37.780526,-122.390288,27,2nd at Townsend,8/22/2013
62,37.785299,-122.396236,19,2nd at Folsom,8/22/2013
63,37.786978,-122.398108,19,Howard at 2nd,8/22/2013
64,37.782259,-122.392738,15,2nd at South Park,8/22/2013
65,37.771058,-122.402717,15,Townsend at 7th,8/22/2013
66,37.774814,-122.418954,19,South Van Ness at Market,8/23/2013
67,37.776619,-122.417385,27,Market at 10th,8/23/2013
68,37.784878,-122.401014,19,Yerba Buena Center of the Arts (3rd @ Howard),8/23/2013
69,37.7766,-122.39547,23,San Francisco Caltrain 2 (330 Townsend),8/23/2013
70,37.776617,-122.39526,19,San Francisco Caltrain (Townsend at 4th),8/23/2013
71,37.788446,-122.408499,19,Powell at Post (Union Square),8/23/2013
72,37.781039,-122.411748,23,Civic Center BART (7th at Market),8/23/2013
73,37.798522,-122.407245,15,Grant Avenue at Columbus Avenue,8/21/2013
74,37.794139,-122.394434,23,Steuart at Market,8/25/2013
75,37.7913,-122.399051,19,Mechanics Plaza (Market at Battery),8/25/2013
76,37.786305,-122.404966,19,Market at 4th,8/25/2013
77,37.789625,-122.400811,27,Market at Sansome,8/25/2013
80,37.352601,-121.905733,15,Santa Clara County Civic Center,12/31/2013
82,37.798541,-122.400862,15,Broadway St at Battery St,1/22/2014
83,37.491269,-122.236234,15,Mezes Park,2/20/2014
84,37.342725,-121.895617,15,Ryland Park,04/09/2014
